Time (seconds),X-Force,Y-Force,Z-Force,AbsoluteForce
11.90,128,48,-992,1001
11.93,128,32,-960,969
11.95,96,48,-992,997
11.97,144,48,-976,987
12.00,112,48,-976,983
12.02,128,64,-976,986
12.05,112,64,-976,984
12.07,96,64,-976,982
12.09,96,32,-960,965
12.14,128,64,-976,986
12.16,96,48,-976,981
12.19,128,32,-976,984
12.21,96,48,-992,997
12.23,112,48,-960,967
12.26,96,48,-976,981
12.28,112,64,-960,968
12.31,96,48,-976,981
12.33,128,64,-976,986
12.36,112,64,-960,968
12.38,128,64,-976,986
12.41,112,48,-992,999
12.45,128,32,-976,984
12.47,112,64,-976,984
12.50,144,48,-976,987
12.52,112,48,-976,983
12.55,96,48,-976,981
12.57,96,48,-992,997
12.59,144,32,-960,971
12.62,96,80,-960,968
12.64,128,48,-976,985
12.67,112,64,-976,984
12.69,112,32,-976,982
12.71,112,64,-976,984
12.76,112,32,-976,982
12.78,112,64,-976,984
12.81,96,64,-976,982
12.83,112,64,-1008,1016
12.85,96,48,-976,981
12.88,96,48,-976,981
12.90,112,80,-976,985
12.93,128,32,-992,1000
12.95,128,48,-960,969
12.98,112,48,-976,983
13.00,112,48,-976,983
13.05,96,64,-976,982
13.07,96,80,-976,983
13.09,112,48,-976,983
13.12,112,48,-960,967
13.14,112,48,-976,983
13.17,96,64,-992,998
13.19,96,48,-992,997
13.21,112,48,-976,983
13.24,96,64,-976,982
13.26,144,48,-960,971
13.29,128,64,-976,986
13.31,112,64,-976,984
13.35,96,48,-976,981
13.38,128,64,-976,986
13.40,128,64,-992,1002
13.43,112,64,-976,984
13.45,144,48,-976,987
13.47,112,48,-976,983
13.50,112,80,-976,985
13.52,112,64,-976,984
13.55,112,64,-976,984
13.57,96,64,-992,998
13.59,80,64,-976,981
13.62,112,48,-960,967
13.66,80,32,-976,979
13.69,112,64,-992,1000
13.71,112,48,-976,983
13.74,144,48,-976,987
13.76,112,48,-976,983
13.79,112,64,-976,984
13.81,128,48,-976,985
13.83,128,64,-976,986
13.86,112,80,-960,969
13.88,128,64,-976,986
13.91,112,64,-976,984
13.93,96,64,-960,966
13.97,128,64,-976,986
14.00,112,64,-992,1000
14.02,128,80,-976,987
14.05,96,64,-976,982
14.07,128,48,-976,985
